,year,Race_url,stage,stage_url,stage_type,profile_icon,stage_winner,stage_winner_url,stage_winner_time,stage_distance,stage_vertical_meters,gc_leader,gc_leader_url,gc_stage_time
12,1985,race/tour-de-france/1985,Lans en Vercors,https://www.procyclingstats.com/race/tour-de-france/1985/stage-12,RR,p5,{'rider_name': 'PARRA Fabio Enrique'},{'rider_url': 'rider/fabio-enrique-parra'},{'time': '8:25:31'},269.0,8364.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},8:26:10
13,1985,race/tour-de-france/1985,Villard-de-Lans,https://www.procyclingstats.com/race/tour-de-france/1985/stage-13,ITT,p2,{'rider_name': 'VANDERAERDEN Eric'},{'rider_url': 'rider/eric-vanderaerden'},{'time': '0:41:04'},31.8,746.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},0:42:11
14,1985,race/tour-de-france/1985,Saint-Etienne,https://www.procyclingstats.com/race/tour-de-france/1985/stage-14,RR,p4,{'rider_name': 'HERRERA Luis Alberto'},{'rider_url': 'rider/luis-alberto-herrera'},{'time': '4:56:32'},179.0,3733.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},4:59:04
15,1985,race/tour-de-france/1985,Aurillac,https://www.procyclingstats.com/race/tour-de-france/1985/stage-15,RR,p4,{'rider_name': 'CHOZAS Eduardo'},{'rider_url': 'rider/eduardo-chozas'},{'time': '7:08:42'},237.5,5686.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},7:18:36
16,1985,race/tour-de-france/1985,Toulouse,https://www.procyclingstats.com/race/tour-de-france/1985/stage-16,RR,p2,{'rider_name': 'VICHOT Frédéric'},{'rider_url': 'rider/frederic-vichot'},{'time': '6:31:54'},247.0,4323.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},6:35:09
17,1985,race/tour-de-france/1985,Luz-Ardiden,https://www.procyclingstats.com/race/tour-de-france/1985/stage-17,RR,p5,{'rider_name': 'DELGADO Pedro'},{'rider_url': 'rider/pedro-delgado'},{'time': '6:57:21'},209.5,5907.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},7:01:26
18,1985,race/tour-de-france/1985,Col d'Aubisque,https://www.procyclingstats.com/race/tour-de-france/1985/stage-18a,RR,p5,{'rider_name': 'ROCHE Stephen'},{'rider_url': 'rider/stephen-roche'},{'time': '1:39:19'},52.5,2412.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},1:40:49
19,1985,race/tour-de-france/1985,Pau,https://www.procyclingstats.com/race/tour-de-france/1985/stage-18b,RR,p4,{'rider_name': 'SIMON Régis'},{'rider_url': 'rider/regis-simon'},{'time': '2:22:55'},83.5,2985.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},2:24:02
20,1985,race/tour-de-france/1985,Bordeaux,https://www.procyclingstats.com/race/tour-de-france/1985/stage-19,RR,p1,{'rider_name': 'VANDERAERDEN Eric'},{'rider_url': 'rider/eric-vanderaerden'},{'time': '5:42:13'},200.0,1637.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},5:42:13
21,1985,race/tour-de-france/1985,Limoges,https://www.procyclingstats.com/race/tour-de-france/1985/stage-20,RR,p3,{'rider_name': 'LAMMERTS Johan'},{'rider_url': 'rider/johan-lammerts'},{'time': '5:53:10'},225.0,3521.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},5:54:02
